timestamp_utc,timestamp_local,weekday,hour,minute,is_holiday,is_school_holiday,uid,name,currentfill,freespace,maxspace,fill_ratio
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,FREIBAD-1,Entfelden,0,1300,1300,0.0
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,flb6939,Flussbad Oberer Letten,1,999,1000,0.001
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,flb6940,Flussbad Unterer Letten,0,800,800,0.0
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,flb8803,Flussbad Unterer Letten (Flussteil),0,800,800,0.0
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,flb6941,Frauenbad Stadthausquai,2,348,350,0.0057
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,fb006,Freibad Allenmoos,0,2500,2500,0.0
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,fb008,Freibad Auhof,0,2001,2001,0.0
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,fb012,Freibad Heuried,4,2596,2600,0.0015
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,LETZI-1,Freibad Letzigraben,545,3255,3800,0.1434
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,SSD-11,Freibad Seebach,353,1647,2000,0.1765
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,fb018,Freibad Zwischen den Hölzern,0,2000,2000,0.0
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,SSD-1,Hallenbad Altstetten,0,0,0,0.0
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,SSD-2,Hallenbad Blaesi,0,70,70,0.0
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,SSD-3,Hallenbad Bungertwies,28,42,70,0.4
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,SSD-4,Hallenbad City,49,171,220,0.2227
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,SSD-6,Hallenbad Leimbach,13,67,80,0.1625
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,SSD-7,Hallenbad Oerlikon,110,90,200,0.55
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,SSD-8,Josel-Areal,22,178,200,0.11
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,LIDO-1,Luzern,0,3500,3500,0.0
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,RISCH-1,Rotkreuz,6,594,600,0.01
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,SSD-10,Seebad Utoquai,476,324,800,0.595
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,seb6946,Strandbad Mythenquai,2892,1608,4500,0.6427
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,seb6947,Strandbad Tiefenbrunnen,0,3500,3500,0.0
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,seb6948,Strandbad Wollishofen,0,700,700,0.0
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,SSD-5,Waermebad Kaeferberg,0,70,70,0.0
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,WEN-1,Wengen,0,70,70,0.0
2026-05-01T14:40:18+00:00,2026-05-01T16:40:18+02:00,Friday,16,40,True,True,HUENENBERG-1,Zug,0,1000,1000,0.0
